cmd.exe : profiled 20 puzzles
At C:\Users\lky18\Documents\work\_release_wt\sudoku_fuze_artifacts\out\smoke_all.ps1:96 char:12
+     $out = & cmd /c $cmdline 2>&1
+            ~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (profiled 20 puzzles:String) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
U_lo decisions   -crit     -pc    +nEP     -pF     -cP   +crit     +pc     +pF    -nEP     +cP
   6        19  0.0000  0.1053  0.0000  0.1053  0.2105  0.1053  0.0000  0.0000  0.2105  0.0000
  12        11  0.0000  0.0909  0.0000  0.0909  0.2727  0.0000  0.0000  0.0000  0.1818  0.0909
  18        17  0.2353  0.3529  0.2353  0.3529  0.0588  0.1176  0.1765  0.2941  0.0588  0.2353
  24        23  0.2609  0.5652  0.2174  0.5652  0.0870  0.1304  0.1304  0.1304  0.1739  0.3043
  30        26  0.2692  0.3846  0.2692  0.3077  0.2308  0.2308  0.1923  0.1923  0.3077  0.3077
  36        68  0.2647  0.2647  0.1765  0.2500  0.1912  0.1912  0.1029  0.0882  0.3088  0.2647
  42       125  0.2160  0.2880  0.1760  0.3920  0.3120  0.2320  0.1440  0.0880  0.2480  0.2000
  48       153  0.1569  0.2157  0.0784  0.3399  0.2549  0.1634  0.0654  0.0131  0.2549  0.1830
  54        81  0.2963  0.2222  0.0370  0.2099  0.3580  0.1111  0.0494  0.0247  0.1481  0.0988
